ingredient,frequency,harm_level,harm_score
acetic acid,4302,moderate,2
thym,4295,moderate,2
an emulsifier,4282,moderate,2
mustard,4277,safe,1
prsure,4274,moderate,2
datem,4273,moderate,2
huile vgtale,4250,moderate,2
antioxydant,4238,moderate,2
propylene glycol,4237,hazardous,4
natuurlijk aroma,4236,moderate,2
aqua,4233,moderate,2
pecans,4232,moderate,2
lecithin,4226,moderate,2
tricalcium phosphate,4222,moderately high,3
biotin,4218,moderate,2
red pepper,4215,safe,1
confectioners glaze,4212,moderate,2
aromi,4203,moderate,2
maltitol,4200,moderate,2
natural flavoring,4193,moderate,2
mais,4181,moderate,2
autolyzed yeast extract,4178,moderate,2
cottonseed,4177,moderate,2
fumaric acid,4173,moderate,2
enproductnamecompleted,4164,moderate,2
apple juice concentrate,4135,moderate,2
huile dolive,4106,moderate,2
sulfites,4103,moderate,2
enfrontphotoselected,4100,moderate,2
emulgator lecithine,4087,moderate,2
strawberries,4082,moderate,2
cilantro,4065,moderate,2
ammonium bicarbonate,4063,moderate,2
barley malt extract,4046,moderate,2
encharacteristicstobecompleted,4036,moderate,2
mulsifiants,4030,moderate,2
jalapeno peppers,4023,moderate,2
suerungsmittel,4011,moderate,2
spinach,4009,safe,1
mas,3994,moderate,2
stabiliser,3982,moderate,2
chili,3976,moderate,2
yellow lake,3975,moderate,2
rapeseed,3962,moderate,2
rice starch,3960,moderate,2
coriandre,3948,moderate,2
crustacs,3937,moderate,2
orange,3936,safe,1
ennutritionfactscompleted,3924,moderate,2
oeuf,3923,moderate,2
woda,3905,moderate,2
vegetable shortening,3878,moderate,2
calcium disodium edta,3877,hazardous,4
enzyme,3865,moderate,2
beurre concentr,3853,moderate,2
glukosefruktosesirup,3850,moderate,2
apple,3846,safe,1
sodium alginate,3845,moderate,2
calcium phosphate,3844,moderately high,3
enoriginstobecompleted,3842,moderate,2
flavorings,3840,moderate,2
acid,3838,moderate,2
apples,3837,moderate,2
jodiertes speisesalz,3827,moderate,2
white pepper,3820,safe,1
chicken fat,3804,safe,1
amandes,3793,moderate,2
sweetener,3784,moderately high,3
thiamine,3775,moderate,2
starch,3768,moderate,2
pepper,3744,safe,1
tomates,3739,moderate,2
mulsifiant lcithines,3737,moderate,2
fruits coque,3725,moderate,2
kruter,3722,moderate,2
milk protein concentrate,3719,moderate,2
pea protein,3673,moderate,2
sugars,3673,moderate,2
noisettes,3669,moderate,2
semoule de bl dur,3668,moderate,2
chapelure,3667,moderate,2
to preserve freshness,3666,moderate,2
encategoriescompleted,3646,moderate,2
vin blanc,3643,moderate,2
mixed tocopherols,3633,moderate,2
paississant,3625,moderate,2
tomato juice,3624,safe,1
correcteur dacidit,3613,moderate,2
enquantitycompleted,3592,moderate,2
organic sugar,3583,moderately high,3
egg yolk,3565,safe,1
garlic pure,3558,safe,1
alcohol,3557,moderate,2
color added,3550,moderate,2
sunflower seeds,3537,moderate,2
stabilisant,3533,moderate,2
peanut oil,3525,moderate,2
whey protein isolate,3524,moderate,2
poudre de lait entier,3519,moderate,2
maize starch,3517,moderate,2
bha,3502,hazardous,4
enphotostobevalidated,3494,moderate,2
milk solids,3482,safe,1
poudres lever,3469,moderate,2
sel de mer,3467,moderate,2
zonnebloemolie,3467,moderate,2
carbonates de sodium,3465,moderate,2
modified starch,3456,moderate,2
pineapple,3453,safe,1
sodium chloride,3446,moderate,2
origan,3438,moderate,2
enpackagingphototobeselected,3434,moderate,2
hydrolyzed soy protein,3428,safe,1
vitamin a,3420,moderate,2
glucosestroop,3415,moderate,2
stabilisants,3408,moderate,2
annatto extract,3404,moderate,2
riz,3394,moderate,2
caffeine,3393,moderate,2
glycerol,3386,moderate,2
gingembre,3385,moderate,2
parfum,3380,moderate,2
enexpirationdatetobecompleted,3374,moderate,2
apple cider vinegar,3373,moderate,2
antioxydant acide ascorbique,3368,moderate,2
palmfett,3363,moderate,2
gua,3363,moderate,2
eningredientscompleted,3362,moderate,2
durum wheat semolina,3347,safe,1
emulgente,3343,moderate,2
nutmeg,3324,safe,1
dark chocolate,3313,safe,1
dont lait,3311,moderate,2
hazelnuts,3309,moderate,2
schweinefleisch,3302,moderate,2
manteca de cacao,3299,moderate,2
kaliumjodat,3294,moderate,2
oats,3264,moderate,2
mulsifiant lcithine de soja,3264,moderate,2
lecithine,3258,moderate,2
gellan gum,3257,moderate,2
natural smoke flavor,3253,moderate,2
verdickungsmittel,3242,moderate,2
glucosefructose syrup,3232,moderate,2
antioxidante,3230,moderate,2
modified maize starch,3225,moderate,2
lait crm,3211,moderate,2
chicken,3205,safe,1
acidity regulators,3201,moderate,2
acide ascorbique,3186,moderate,2
potato,3184,safe,1
mono diglycerides,3184,moderate,2
leche,3184,moderate,2
kurkuma,3177,moderate,2
stabilizer,3152,moderate,2
fish,3148,safe,1
palml,3146,moderate,2
calcium,3144,moderate,2
mollusques,3140,moderate,2
artificial colors,3136,moderate,2
guarkernmehl,3134,moderate,2
yellow corn flour,3131,safe,1
gomme guar,3122,moderate,2
lait entier,3109,moderate,2
a preservative,3105,moderately high,3
pommes de terre,3103,moderate,2
palmiste,3101,moderate,2
erythritol,3094,safe,1
lactic acid starter culture,3094,moderate,2
peanut butter,3085,safe,1
quot,3072,moderate,2
vatten,3064,moderate,2
thyme,3063,moderate,2
whole eggs,3062,moderate,2
piment,3053,moderate,2
cultured milk,3046,safe,1
conservateur nitrite de sodium,3045,hazardous,4
wheat bran,3042,safe,1
colours,3041,moderate,2
diphosphates,3032,moderate,2
gomme xanthane,3021,moderate,2
chili pepper,3015,safe,1
xanthan,3013,moderate,2
rosemary extract,3007,moderate,2
socker,2997,moderate,2
reismehl,2995,moderate,2
eningredientsphotoselected,2994,moderate,2
maisstrke,2984,moderate,2
maltodextrina,2981,moderate,2
potassium benzoate,2977,hazardous,4
citron,2970,moderate,2
tarwe,2966,moderate,2
extrait de malt dorge,2964,moderate,2
poissons,2962,moderate,2
butterreinfett,2954,moderate,2
gum acacia,2953,moderate,2
barley,2947,safe,1
dextrosa,2942,moderate,2
blueberries,2933,moderate,2
skim milk powder,2920,moderate,2
cultured pasteurized milk,2920,safe,1
voedingszuur,2916,moderate,2
gelatine,2912,moderate,2
emulsionante,2905,moderate,2
aceite vegetal,2896,moderate,2
broccoli,2883,moderate,2
latte,2883,moderate,2
poivre noir,2877,moderate,2
kartoffelstrke,2876,moderate,2
mango,2872,safe,1
olio di semi di girasole,2869,moderate,2
jambon de porc,2867,moderate,2
amidon de pomme de terre,2865,moderate,2
calcium pantothenate,2863,moderate,2
modified tapioca starch,2862,moderate,2
ennutritionphotoselected,2854,moderate,2
gras de porc,2850,moderate,2
kohlensure,2848,moderate,2
cannelle,2840,moderate,2
blue lake,2839,moderate,2
cacao en poudre,2837,moderate,2
concentrated lemon juice,2835,safe,1
colorante,2827,moderate,2
to maintain freshness,2818,moderate,2
colorants,2817,moderate,2
chicken broth,2812,safe,1
raps,2797,moderate,2
sesame oil,2797,moderate,2
contient lait,2794,moderate,2
konservierungsstoff natriumnitrit,2787,moderate,2
walnuts,2783,moderate,2
natamycin,2782,moderate,2
antioxydant ascorbate de sodium,2780,moderate,2
amidon de riz,2780,moderate,2
koriander,2771,moderate,2
ail en poudre,2764,moderate,2
glycerine,2762,moderate,2
natrliche aromen,2759,moderate,2
vegetable fat,2747,moderate,2
sal yodada,2741,moderate,2
saccharose,2737,moderate,2
kokos,2733,moderate,2
petersilie,2733,moderate,2
palm kernel,2728,moderate,2
cayenne pepper,2722,safe,1
to protect flavor,2721,moderate,2
tartaric acid,2717,moderate,2
cacao,2716,moderate,2
soy protein concentrate,2704,moderate,2
voda,2697,moderate,2
especias,2695,moderate,2
levadura,2688,moderate,2
zitronensaftkonzentrat,2680,moderate,2
conserveermiddel,2680,moderate,2
pectine,2678,moderate,2
enriched bleached flour,2674,moderate,2
jarabe de glucosa,2670,moderate,2
flavour,2668,moderate,2
poivre blanc,2667,moderate,2
sweeteners,2665,moderate,2
purified water,2665,safe,1
stabilisers,2660,moderate,2
azijn,2655,moderate,2
cellulose,2654,moderate,2
pomme,2654,moderate,2
vital wheat gluten,2649,safe,1
riboflavin vitamin b,2649,moderate,2
agar,2648,moderate,2
modified potato starch,2648,moderate,2
acesulfame k,2647,moderately high,3
flavor,2645,moderate,2
vesi,2645,moderate,2
stevia leaf extract,2638,moderate,2
calcium lactate,2634,moderate,2
graines de ssame,2631,moderate,2
enpackagingtobecompleted,2628,moderate,2
gistextract,2619,moderate,2
mustard flour,2614,safe,1
tapioca syrup,2608,moderate,2
cebolla,2601,moderate,2
coco,2589,moderate,2
graisse de palme,2586,moderate,2
invertzuckersirup,2582,moderate,2
weizenstrke,2581,moderate,2
torula yeast,2568,moderate,2
taurine,2566,moderate,2
niacine,2564,moderate,2
betacarotene,2554,safe,1
lime juice,2554,moderate,2
sodium lactate,2553,moderate,2
pices et plantes aromatiques,2553,moderate,2
acidulante,2552,moderate,2
ananas,2549,moderate,2
sodium tripolyphosphate,2539,moderate,2
extractives of paprika,2537,moderate,2
polydextrose,2533,moderate,2
tocopherols,2526,moderate,2
glatine,2525,moderate,2
natural flavorings,2521,moderate,2
unbleached enriched flour,2506,moderate,2
sesame,2502,safe,1
palma,2500,moderate,2
partially hydrogenated soybean oil,2499,hazardous,4
cellulose gel,2493,moderate,2
potassium lactate,2490,moderate,2
natural flavours,2485,moderate,2
backtriebmittel,2470,moderate,2
pomme de terre,2458,moderate,2
invert sugar syrup,2449,moderately high,3
pasta de cacao,2445,moderate,2
suola,2441,moderate,2
raising agent,2438,moderate,2
tapioca dextrin,2437,moderate,2
including cereals containing gluten,2434,moderate,2
oat fiber,2431,safe,1
pasteurized partskim milk,2429,safe,1
natural flavourings,2426,moderate,2
kleurstof,2425,moderate,2
cream cheese,2422,safe,1
hefeextrakt,2416,moderate,2
tbhq,2415,hazardous,4
peas,2410,safe,1
organic sunflower oil,2407,moderate,2
sorbitan monostearate,2406,moderate,2
muscade,2406,moderate,2
crme frache,2385,moderate,2
natural vanilla flavor,2384,moderate,2
enpackagingcodetobecompleted,2384,moderate,2
corn maltodextrin,2383,moderately high,3
brown rice syrup,2359,moderate,2
milk powder,2354,moderate,2
enpackagingcodecompleted,2352,moderate,2
citroenzuur,2349,moderate,2
semolina,2347,moderate,2
natural artificial flavors,2346,moderate,2
pumpkin seeds,2343,moderate,2
farina di frumento,2342,moderate,2
hydrogenated palm kernel oil,2340,moderate,2
antioxidationsmittel ascorbinsure,2339,moderate,2
salmo salar,2335,moderate,2
potato flour,2334,safe,1
pfeffer,2326,moderate,2
cukr,2323,moderate,2
hydrolyzed corn protein,2315,safe,1
ssame,2313,moderate,2
shrimp,2313,safe,1
popcorn,2311,moderate,2
graisses vgtales,2302,moderate,2
lemon,2297,safe,1
palm fat,2297,moderate,2
suisse,2293,moderate,2
enriched bleached wheat flour,2288,safe,1
brands completed,2286,moderate,2
sureregulator,2285,moderate,2
lecitina de soja,2284,moderate,2
dough conditioner,2283,moderate,2
sucrose,2282,moderate,2
sorbate de potassium,2280,moderate,2
mandeln,2279,moderate,2
knoflook,2278,moderate,2
smolkenpulver,2274,moderate,2
poireau,2273,moderate,2
vitamins,2273,moderate,2
rosemary,2270,moderate,2
niacina,2269,moderate,2
sel de cuisine iod,2269,moderate,2
conservateur sorbate de potassium,2267,moderate,2
red bell pepper,2261,safe,1
lactosrum,2260,moderate,2
carbonate acide de sodium,2260,moderate,2
origine ue,2257,moderate,2
vegetable glycerin,2254,moderate,2
estabilizantes,2254,moderate,2
dates,2253,moderate,2
farbstoff,2248,moderate,2
malt dorge,2247,moderate,2
sel de gurande,2247,moderate,2
farine de froment,2245,moderate,2
amidon transform de mas,2243,moderate,2
powdered cellulose,2243,moderate,2
zinc,2242,moderate,2
chalote,2241,moderate,2
brown rice flour,2238,safe,1
weizen,2235,moderate,2
contains or less of salt,2228,safe,1
paississant gomme xanthane,2226,moderate,2
rolled oats,2221,moderate,2
estabilizante,2208,moderate,2
carraghnanes,2207,moderate,2
herbs,2204,moderate,2
vegetable fats,2202,moderate,2
granulated garlic,2202,safe,1
rennet,2199,moderate,2
kochsalz,2199,moderate,2
cholecalciferol,2198,moderate,2
alcool,2198,moderate,2
red bell peppers,2198,moderate,2
emulgatoren,2196,moderate,2
laurier,2193,moderate,2
sokeri,2193,moderate,2
peanut,2184,safe,1
extraits dpices,2178,moderate,2
whole grain oats,2174,moderate,2
sour cream,2174,safe,1
iodized salt,2168,safe,1
organic wheat flour,2168,safe,1
correcteur dacidit acide citrique,2168,moderate,2
antioxidationsmittel,2165,moderate,2
mayonnaise,2161,moderate,2
malt,2154,moderate,2
bacterial culture,2153,moderate,2
conservador,2149,moderate,2
white wine vinegar,2148,moderate,2
corn meal,2145,safe,1
l bulgaricus,2144,moderate,2
colors,2142,moderate,2
cottonseed oil,2137,moderate,2
farine de graines de caroube,2135,moderate,2
cherries,2133,moderate,2
oignon en poudre,2127,moderate,2
vitamines,2127,moderate,2
anticaking agent,2123,moderate,2
gist,2123,moderate,2
mozzarella cheese,2122,safe,1
milk protein,2119,safe,1
de lait,2116,moderate,2
senf,2115,moderate,2
green beans,2114,moderate,2
konserveringsmiddel,2110,moderate,2
enpackagingcompleted,2108,moderate,2
bicarbonate de sodium,2101,moderate,2
cucumbers,2101,moderate,2
magnesium oxide,2094,moderate,2
egg white,2094,safe,1
extrait de paprika,2090,moderate,2
unbleached wheat flour,2085,safe,1
product name completed,2082,moderate,2
chili powder,2079,moderate,2
concentr de tomate,2070,moderate,2
spirulina,2068,moderate,2
buttermilk powder,2063,moderate,2
paississants,2060,moderate,2
pflanzliche le,2059,moderate,2
limonene,2058,moderate,2
natuurlijke aromas,2058,moderate,2
whole grain rolled oats,2055,moderate,2
ferric orthophosphate,2050,moderate,2
front photo selected,2050,moderate,2
quinoa,2048,safe,1
olives,2048,moderate,2
sauce,2046,moderate,2
sellerie,2045,moderate,2
concentr de tomates,2042,moderate,2
amidon modifi de pomme de terre,2041,moderate,2
ciboulette,2040,moderate,2
johannisbrotkernmehl,2038,moderate,2
contient alcool,2037,moderate,2
annatto color,2036,moderate,2
contains milk,2035,safe,1
aardappelzetmeel,2034,moderate,2
enphotosuploaded entobecompleted,2034,moderate,2
enphotosuploaded to be completed,2034,moderate,2
lcithine de tournesol,2033,moderate,2
burro di cacao,2032,moderate,2
xylitol,2024,safe,1
arome,2024,moderate,2
natriumcarbonate,2021,moderate,2
riboflavina,2018,moderate,2
romano cheese,2018,safe,1
characteristics to be completed,2018,moderate,2
pasteurized cream,2016,safe,1
organic garlic,2008,safe,1
karotten,2006,moderate,2
raapzaadolie,1998,moderate,2
sciroppo di glucosio,1997,moderate,2
tapioca,1990,moderate,2
romarin,1986,moderate,2
sahne,1985,moderate,2
coffee,1983,safe,1
ajo,1977,moderate,2
fruit pectin,1972,moderate,2
chilli powder,1972,moderate,2
eau gazifie,1971,moderate,2
destrosio,1971,moderate,2
sodium hydroxide,1970,moderate,2
sodium hexametaphosphate,1969,moderate,2
brown rice,1966,safe,1
roasted peanuts,1964,moderate,2
nutrition facts completed,1962,moderate,2
stabilisatoren,1961,moderate,2
methylcellulose,1960,moderate,2
mulsifiant mono et diglycrides dacides gras,1960,moderate,2
sodium carbonates,1956,moderate,2
sodium propionate,1955,moderate,2
milk protein isolate,1953,safe,1
rice vinegar,1952,moderate,2
dough conditioners,1951,moderate,2
soy lecithin an emulsifier,1949,moderate,2
carbonate de calcium,1944,moderate,2
potassium iodide,1940,moderate,2
aromi naturali,1933,moderate,2
acacia gum,1932,moderate,2
mushrooms,1930,moderate,2
culture,1923,moderate,2
vinaigre de vin,1921,moderate,2
origins to be completed,1921,moderate,2
lecitina de soya,1918,moderate,2
strawberry,1916,safe,1
azucar,1916,moderate,2
flavours,1916,moderate,2
peaches,1911,moderate,2
l acidophilus,1910,moderate,2
chocolate chips,1903,safe,1
stabilizers,1903,moderate,2
fettarmes kakaopulver,1902,moderate,2
rapsolje,1901,moderate,2
orge,1897,moderate,2
cloves,1897,moderate,2
soluble corn fiber,1895,safe,1
tamarind,1894,safe,1
magnesium stearate,1890,moderate,2
kokosfett,1889,moderate,2
red peppers,1889,moderate,2
graisse vgtale,1886,moderate,2
gerstenmalzextrakt,1881,moderate,2
molkenerzeugnis,1876,moderate,2
white wine,1875,moderate,2
poudre de cacao,1874,moderate,2
malt extract,1868,moderate,2
thiamin hydrochloride,1867,moderate,2
whole grain wheat,1864,safe,1
butter oil,1862,moderate,2
chickpeas,1861,moderate,2
oleoresin of paprika,1857,moderate,2
inositol,1855,moderate,2
high oleic sunflower oil,1854,moderate,2
lime juice concentrate,1853,moderate,2
zuursel,1848,moderate,2
protein blend,1846,moderate,2
expeller pressed canola oil,1846,moderate,2
kaliumsorbat,1845,moderate,2
mono and diglycerides of fatty acids,1842,moderate,2
linalool,1842,moderate,2
kruiden,1842,moderate,2
acidity regulator citric acid,1840,moderate,2
s thermophilus,1840,moderate,2
acide lactique,1838,moderate,2
almidn modificado,1838,moderate,2
oil,1837,moderate,2
soy lecithin emulsifier,1837,moderate,2
zuurteregelaar,1836,moderate,2
red wine vinegar,1835,moderate,2
tomatenmark,1832,moderate,2
farine de mas,1830,moderate,2
moutarde de dijon,1830,moderate,2
garlic puree,1826,safe,1
noix de coco,1825,moderate,2
conservante,1824,moderate,2
tapioca flour,1823,moderate,2
categories completed,1823,moderate,2
pure cane sugar,1817,moderately high,3
extrait de vanille,1808,moderate,2
chicken breast,1800,safe,1
karamellzuckersirup,1799,moderate,2
chilli,1799,safe,1
mechanically separated chicken,1798,safe,1
quantity completed,1796,moderate,2
millet,1795,moderate,2
jedl sl,1794,moderate,2
acide malique,1790,moderate,2
acesulfam k,1784,moderate,2
shortening,1779,moderate,2
antioxidationsmittel natriumascorbat,1778,moderate,2
pantothenic acid,1773,moderate,2
tree nuts,1773,moderate,2
white vinegar,1771,moderate,2
curcumin,1764,moderate,2
tocopherol,1759,safe,1
verdickungsmittel guarkernmehl,1759,moderate,2
shellac,1755,moderate,2
sare,1754,moderate,2
dehydrated onions,1753,moderate,2
riboflavine,1752,moderate,2
gelling agent,1749,moderate,2
photos to be validated,1747,moderate,2
cido flico,1746,moderate,2
phenoxyethanol,1744,moderate,2
spice extractives,1744,safe,1
mono und diglyceride von speisefettsuren,1742,moderate,2
sonnenblume,1737,moderate,2
pflanzliche fette,1736,moderate,2
maize,1736,safe,1
maple syrup,1736,moderate,2
enriched wheat flour wheat flour,1736,safe,1
tomato pure,1733,safe,1
huile de coco,1732,moderate,2
amidon de tapioca,1729,moderate,2
zwiebel,1729,moderate,2
fortified wheat flour,1724,safe,1
barley malt,1724,safe,1
cured with water,1722,safe,1
surhetsregulerende middel,1721,moderate,2
conservateurs,1719,moderate,2
pasteurized milk and cream,1718,safe,1
packaging photo to be selected,1717,moderate,2
fragrance,1711,moderate,2
zonnebloem,1711,moderate,2
acidifiants,1709,moderate,2
lactose et protines de lait,1709,moderate,2
sungsmittel,1708,moderate,2
cabbage,1706,safe,1
krydder,1703,moderate,2
lait en poudre,1702,moderate,2
fat reduced cocoa powder,1701,moderate,2
sodium metabisulfite,1700,moderate,2
acide folique,1697,moderate,2
dried cranberries,1697,moderate,2
cacaoboter,1697,moderate,2
hydrogenated vegetable oil,1696,moderate,2
verdikkingsmiddel,1696,moderate,2
cultured dextrose,1693,moderately high,3
thiamin mononitrate vitamin b,1693,moderate,2
chicory root fiber,1692,moderate,2
unsalted butter,1690,safe,1
milchzucker,1688,moderate,2
expiration date to be completed,1687,moderate,2
zetmeel,1684,moderate,2
lait de vache pasteuris,1683,moderate,2
diphosphate,1682,moderately high,3
ingredients completed,1681,moderate,2
lcithines,1679,moderate,2
fcule de manioc,1675,moderate,2
amidon de mais,1673,moderate,2
sucralosa,1672,moderate,2
heavy cream,1672,safe,1
haselnsse,1672,moderate,2
soia,1671,moderate,2
citrate de sodium,1670,moderate,2
coprah,1669,moderate,2
almidn de maz,1667,moderate,2
tomaten,1666,moderate,2
dill,1664,moderate,2
chicken stock,1656,safe,1
thickeners,1652,moderate,2
ammonium sulfate,1640,moderate,2
safflower,1640,moderate,2
vanille,1640,moderate,2
nuts,1638,moderate,2
sodium carbonate,1637,moderate,2
turmeric extract,1633,moderate,2
bouillon,1633,moderate,2
fer,1631,moderate,2
dicalcium phosphate,1631,moderately high,3
sorbato de potasio,1631,moderate,2
soy protein,1630,safe,1
raspberries,1626,moderate,2
hierro,1624,moderate,2
laktose,1621,moderate,2
organic spices,1621,moderate,2
microcrystalline cellulose,1620,moderate,2
sweetened condensed milk,1620,safe,1
fdc yellow,1620,moderate,2
vanilline,1619,moderate,2
zwiebelpulver,1618,moderate,2
bicarbonato de sodio,1613,moderate,2
regulador de acidez,1613,moderate,2
black beans,1610,moderate,2
monoand diglycerides,1610,moderate,2
lemon oil,1604,moderate,2
cukor,1601,moderate,2
tomato concentrate,1597,moderate,2
sulphites,1595,moderate,2
lgumes,1592,moderate,2
jus concentr de citron,1589,moderate,2
sodium benzoate and potassium sorbate,1587,hazardous,4
pitn voda,1582,moderate,2
traubenzucker,1581,moderate,2
jaune doeuf,1579,moderate,2
organic honey,1578,safe,1
huevo,1576,moderate,2
cardamom,1576,safe,1
cultured wheat flour,1576,safe,1
coconut milk,1574,safe,1
rye flour,1574,moderate,2
zimt,1570,moderate,2
acid citric acid,1568,moderate,2
gum base,1568,moderate,2
arachides,1565,moderate,2
gemodificeerd maszetmeel,1564,moderate,2
eer,1561,moderate,2
glifiant,1558,moderate,2
nitrite de sodium,1558,hazardous,4
smoked paprika,1552,moderate,2
speck,1549,moderate,2
flavors,1548,moderate,2
bacon,1547,moderate,2
natural colour,1547,moderate,2
oat flour,1544,safe,1
rauch,1537,moderate,2
orange juice concentrate,1537,moderate,2
honig,1536,moderate,2
orange peel,1535,safe,1
natural artificial flavor,1535,moderately high,3
fdc red,1535,moderate,2
malted barley,1533,safe,1
pice,1532,moderate,2
antioxidants,1531,moderate,2
cheese,1530,safe,1
noix,1528,moderate,2
arme de fume,1526,moderate,2
fruit,1525,moderate,2
gelatina,1521,moderate,2
karit,1521,moderate,2
a natural mold inhibitor,1521,moderate,2
calcium caseinate,1520,moderate,2
tiamina,1520,moderate,2
cacao maigre,1519,moderate,2
monk fruit extract,1518,moderate,2
vegetable juice,1514,moderate,2
flavour enhancer,1512,moderate,2
dehydrated parsley,1512,moderate,2
vegetable color,1509,moderate,2
grasa vegetal,1509,moderate,2
modified milk ingredients,1507,moderate,2
pasta di cacao,1505,moderate,2
gemodificeerd zetmeel,1505,moderate,2
milcheiwei,1504,moderate,2
cauliflower,1504,safe,1
acido citrico,1499,moderate,2
vitamine c,1498,moderate,2
ingredients photo selected,1497,moderate,2
de soja,1495,moderate,2
gluten de ble,1491,moderate,2
enriched flour wheat flour,1491,safe,1
leche desnatada en polvo,1488,moderate,2
edulcorante,1487,moderate,2
olej rzepakowy,1483,moderate,2
goma xantana,1480,moderate,2
ins,1480,moderate,2
diced tomatoes,1478,moderate,2
fromage,1477,moderate,2
jaune duf,1477,moderate,2
carrageen,1476,moderate,2
cassis,1473,moderate,2
thiamine hydrochloride,1467,moderate,2
ascorbinsure,1467,moderate,2
disodium inosinate and disodium guanylate,1467,moderately high,3
butter cream,1466,safe,1
acidifiant e,1465,moderate,2
hvetemel,1464,moderate,2
hartweizengrie,1460,moderate,2
pineapple juice concentrate,1456,moderate,2
caglio,1456,moderate,2
mustard seeds,1454,safe,1
mikrobielles lab,1454,moderate,2
contains one or more of the following corn,1452,safe,1
lecithins,1451,moderate,2
inuline,1449,moderate,2
organic lemon juice concentrate,1448,moderate,2
aroma natural,1448,moderate,2
organic cocoa butter,1445,safe,1
ingwer,1444,moderate,2
dulcorants,1443,moderate,2
jarabe de glucosa y fructosa,1439,moderate,2
milkfat and nonfat milk,1437,safe,1
jalapeno pepper,1436,safe,1
almidn,1435,moderate,2
antioxidantes,1435,moderate,2
zeezout,1435,moderate,2
oligofructose,1434,moderate,2
ennutritionphototobeselected,1434,moderate,2
kale,1433,moderate,2
to prevent caking,1431,moderate,2
stevia extract,1430,moderate,2
amidon transform,1429,moderate,2
sage,1429,moderate,2
nutrition photo selected,1427,moderate,2
food acid,1424,moderate,2
cocamidopropyl betaine,1423,moderate,2
cream of tartar,1419,safe,1
contains less than of salt,1414,safe,1
lemon peel,1414,safe,1
lemon juice from concentrate,1410,moderate,2
mulsifiant lcithine de tournesol,1408,moderate,2
zahr,1408,moderate,2
pumpkin,1407,moderate,2
cido ascrbico,1404,moderate,2
spice extracts,1404,safe,1
bread crumbs,1404,moderate,2
butterfat,1399,moderate,2
organic onion powder,1392,moderate,2
disodium diphosphate,1391,moderately high,3
ginger pure,1390,safe,1
apple juice from concentrate,1388,moderate,2
stevia,1385,safe,1
chia seeds,1384,safe,1
basilikum,1380,moderate,2
harina de arroz,1380,moderate,2
glycrol,1378,moderate,2
spezie,1376,moderate,2
plantaardige olin,1375,moderate,2
pasteurized part skim milk,1374,safe,1
eningredientstobecompleted,1374,moderate,2
fraise,1371,moderate,2
yogurt,1370,moderate,2
glifiant pectines,1369,moderate,2
calcium silicate,1368,moderate,2
beef stock,1368,moderate,2
strawberry puree,1367,safe,1
sodium selenite,1366,moderate,2
enexpirationdatecompleted,1362,moderate,2
dcalcium pantothenate,1361,moderate,2
oleoresin paprika,1360,moderate,2
voedingszuur citroenzuur,1360,moderate,2
contains gluten,1358,moderate,2
maize flour,1358,safe,1
sesam,1357,moderate,2
dried parsley,1354,moderate,2
plantaardige olie,1351,moderate,2
eningredientsphototobeselected,1350,moderate,2
chlorure de potassium,1349,moderate,2
mozzarella,1345,moderate,2
organic garlic powder,1344,moderate,2
emulgator mono und diglyceride von speisefettsuren,1344,moderate,2
glatine de porc,1344,moderate,2
a b vitamin,1342,moderate,2
gerstenmalz,1342,moderate,2
flour treatment agent,1341,moderate,2
diphosphate disodique,1340,moderately high,3
steviol glycosides,1339,moderate,2
konservierungsstoff,1339,moderate,2
latte scremato in polvere,1338,moderate,2
cider vinegar,1338,moderate,2
grape juice concentrate,1337,moderate,2
organic tapioca syrup,1337,moderate,2
sucre caramlis,1337,moderate,2
vitamina b,1336,moderate,2
apfel,1336,moderate,2
vinaigre de vin blanc,1336,moderate,2
farine de bl malt,1335,moderate,2
a milk derivative,1335,safe,1
gasificantes,1333,moderate,2
lievito,1332,moderate,2
edulcorantes,1332,moderate,2
beeswax,1331,moderate,2
peppers,1331,moderate,2
spice extract,1330,moderate,2
celery powder,1329,moderate,2
chalotes,1329,moderate,2
contient gluten,1328,moderate,2
natriumcitrate,1326,moderate,2
glazing agent,1326,moderate,2
potassium phosphate,1325,moderately high,3
ester gum,1325,moderate,2
emmental,1325,moderate,2
nonfat milk powder,1324,moderate,2
dulcorant,1323,moderate,2
pectina,1323,moderate,2
isomalt,1323,moderate,2
emulsifier lecithins,1322,moderate,2
dried whey,1320,moderate,2
kakaopulver,1319,moderate,2
invertase,1319,moderate,2
ble,1318,moderate,2
green onion,1318,safe,1
espesante,1317,moderate,2
cacaomassa,1316,moderate,2
apple juice,1314,safe,1
packaging to be completed,1314,moderate,2
tartrazine,1311,moderately high,3
clove,1310,safe,1
tarwegluten,1309,moderate,2
pasteurized cows milk,1309,safe,1
noix de cajou,1306,moderate,2
amidon de mas modifi,1305,moderate,2
antioxydants,1301,moderate,2
antioxydant rythorbate de sodium,1298,moderate,2
aromaty,1297,moderate,2
protines de soja,1295,moderate,2
poitrine de porc,1295,moderate,2
lactase,1294,moderate,2
powdered sugar,1294,moderately high,3
sodium aluminum sulfate,1291,moderate,2
safflower oil,1290,moderate,2
fennel,1290,safe,1
sucres,1282,moderate,2
roasted garlic,1282,safe,1
karotte,1278,moderate,2
